Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq
HGTX3,14.45,ON N1,09/04/2020,CIA HERING ON N1,11.18,"Tecidos, Vestuário e Calçados",35.35,Vestuário,58178300.0,2348620000.0,31/12/2019,2049280000.0,162534000.0,3.73,10.94,1.32,-2.89,1.65,8.78,-23.55,11.53,43.8,-48.72,1.52,13.1,-57.55,1.3,13.9,19.94,2.64,11.2,17.96,2.84,16.2,80.9,4.6,15.1,5.89,7.02,3.73,-18.49,10.06,0.05,-0.1,0.86,1811770000.0,1426400000.0
CIEL3,4.83,ON NM,09/04/2020,CIELO ON NM,3.98,Serviços Financeiros Diversos,9.46,Serviços Financeiros Diversos,105803000.0,13122200000.0,31/12/2019,19112400000.0,2716820000.0,-3.78,8.29,0.58,8.78,1.15,4.19,-19.77,6.7,36.1,-46.99,1.16,17.3,-42.11,0.14,15.8,-1.06,1.5,2.1,-58.16,-7.8,7.5,4.66,4.3,13.9,1.31,6.32,1.13,3.53,9.76,0.81,-0.1,0.12,93422300000.0,11392600000.0
COCE5,47.81,PNA,09/04/2020,CIA ENERG CEARA - COELCE PNA,41.0,Energia Elétrica,64.27,Energia Elétrica,1964930.0,3722250000.0,31/12/2019,5738040000.0,77855000.0,0.5,9.19,5.2,-1.01,1.2,40.0,-18.41,7.03,14.1,-4.21,0.69,9.9,-23.39,0.43,7.5,34.74,33.83,6.1,-10.6,-1.1,6.9,14.4,3.9,13.0,42.38,7.16,1.05,-0.13,10.83,0.7,7.8,0.62,8664710000.0,3114050000.0
COGN3,4.58,ON,09/04/2020,COGNA ON,3.66,Diversos,13.62,Educacional,237091000.0,8594850000.0,31/12/2019,19875300000.0,1876610000.0,-0.43,36.54,0.13,14.5,0.54,8.44,-39.26,8.79,60.0,-55.1,1.22,13.9,-59.93,0.25,3.5,30.33,4.97,2.9,-50.09,-0.62,3.0,41.81,1.8,1.5,44.07,9.14,1.63,-34.7,20.33,0.76,7.5,0.21,34118400000.0,15832400000.0
CSMG3,46.5,ON,09/04/2020,COPASA MG ON,32.97,Água e Saneamento,71.79,Água e Saneamento,49832800.0,5893920000.0,31/12/2019,8680010000.0,126751000.0,3.33,7.81,5.95,13.69,0.87,53.2,-9.24,4.65,41.8,-23.72,1.14,24.6,-29.89,0.51,14.6,13.15,8.13,11.0,53.64,-2.0,11.7,24.55,3.5,11.2,144.17,4.64,1.65,-37.42,6.85,0.49,7.8,0.45,11528800000.0,6743710000.0
CPLE3,55.14,ON,09/04/2020,COPEL ON,29.39,Energia Elétrica,85.63,Energia Elétrica,17010800.0,15089400000.0,31/12/2019,23716500000.0,273655000.0,2.59,7.58,7.27,-5.55,0.87,63.04,-20.89,4.26,27.6,74.75,0.93,21.8,-20.2,0.39,12.7,140.58,5.89,9.2,49.37,-1.18,10.5,20.4,4.7,11.5,26.21,5.12,1.48,-30.87,6.69,0.67,3.3,0.42,38312600000.0,17252400000.0
CPLE6,56.23,PNB,09/04/2020,COPEL PNB,34.6,Energia Elétrica,77.91,Energia Elétrica,78949800.0,15387600000.0,31/12/2019,24014700000.0,273655000.0,3.16,7.73,7.27,5.1,0.89,63.04,-10.15,4.34,27.6,54.06,0.95,21.8,-18.59,0.4,12.7,135.32,6.0,9.2,31.27,-1.2,10.5,-2.78,5.1,11.5,17.14,5.18,1.48,-26.66,6.78,0.67,3.3,0.42,38312600000.0,17252400000.0
CSAN3,51.57,ON,09/04/2020,COSAN SA INDUSTRIA E COMERCIO ON,42.27,Alimentos,84.2,Açucar e Alcool,161338000.0,20329400000.0,31/12/2019,27667700000.0,394210000.0,-3.26,8.38,6.15,-4.07,1.93,26.77,-18.14,9.87,29.3,17.1,1.5,15.2,-25.87,0.62,18.3,112.49,3.93,6.3,-17.07,-1.94,8.2,11.62,2.0,23.0,62.4,10.52,1.84,-6.56,13.43,1.27,14.2,0.41,32865100000.0,10553700000.0
RLOG3,15.9,ON NM,09/04/2020,COSAN LOG ON NM,11.21,Transporte,23.5,Transporte Ferroviário,16268000.0,7365260000.0,31/12/2019,17122700000.0,463224000.0,2.91,34.43,0.46,-4.9,3.1,5.13,6.21,3.49,35.0,8.16,1.04,29.7,-31.47,0.22,11.0,77.78,3.85,6.4,40.63,-0.38,6.9,90.95,0.0,9.0,26.56,4.48,1.63,-62.68,8.12,4.93,15.0,0.22,32838000000.0,2376850000.0
CPFE3,27.8,ON,09/04/2020,CPFL ENERGIA S.A. ON,23.5,Energia Elétrica,39.2,Energia Elétrica,106592000.0,32032700000.0,31/12/2019,48154100000.0,1152250000.0,0.72,11.85,2.35,3.46,2.47,11.28,-18.24,6.6,22.0,-2.56,1.07,16.2,-21.8,0.73,9.2,25.22,116.6,11.0,50.85,-1.57,12.8,-22.58,1.5,20.8,72.05,7.7,1.03,-11.19,9.93,1.46,12.4,0.68,44078300000.0,12994400000.0
